institution,doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
michigan,michigan.apis.692,41899,41899,o.mich;1;139,michigan.apis.692,Receipt for Money Payment,Receipt for payment of money,IIIrd century  A.D.,249.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"On the 2nd intercalary day: eight drachmai, equal 8 drachmai. To (the account of) Ptolemaios, son of Nekpheros",True
michigan,michigan.apis.693,42152,42152,o.mich;1;389,michigan.apis.693,Receipt for Transport of Grain,Receipt for transport of grain to an unknown harbor by Manes and his sister,(Late) IIIrd century A.D.,249.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"Of the crop of year 4, in the name of Manes, son of Heron, and of his sister Heroeis, 13 sacks, through beasts of Salakon and Didas. Year 5, Mecheir 5.",True
michigan,michigan.apis.694,41893,41893,o.mich;1;135,michigan.apis.694,Receipt for Tax Payment,Receipt for payment of an unnamed tax,IIIrd century  A.D.,249.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"Year 10, Pharmouthi, for the arithmesis of Phamenoth. Harpalos(?), son of Serenus(?), has paid eight drachmai, equal 8 drachmai.",True
michigan,michigan.apis.695,,64125,o.mich;1;661,michigan.apis.695,Text of Uncertain Nature,"Perhaps a writing exercise, giving the name of a nation or city",IIIrd century  A.D.,249.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,The Babylonians <or: Of Babylon?>,True
michigan,michigan.apis.696,41940,41940,o.mich;1;181,michigan.apis.696,Receipt for Delivery in Kind,Receipt for delivery of chaff,"September 6, 301 A.D.",,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"Aurelii Dioskoros, son of Chairemon(?), and Philadelphos, and Serenus, and Ischyrion, to Aurelius Aunes(?), son of Mikkalos, greetings. Pnas, son of Anouphis, has measured out, for the 17th and 16th and 9th year, for public dues, for the village of Karanis, 150(?) litrai of chaff. Year 18-17-10, Thoth 9.",True
michigan,michigan.apis.697,42054,42054,o.mich;1;292,michigan.apis.697,Receipt (Certificate) for Work on the Embankments,Probably a certificate for work on the embankments performed by Tourbon,IIIrd century  A.D.,249.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"Mesore 18. Tourbon, son of Pamoun, has given 5(?) naubia.",True
michigan,michigan.apis.698,42396,42396,o.mich;1;612,michigan.apis.698,List of Names,"List of names, perhaps of liturgical workers",(Late) IIIrd century/(early) IVth century A.D.,262.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"Chairemon(?) [- - -];Horion [- - -];Sokrates [- - -];Hatres [- - -];Saras [- - -];Dios, veteran(?);Leonides [- - -]",True
michigan,michigan.apis.699,42231,42231,o.mich;1;458,michigan.apis.699,Receipt for Transport of Grain,Receipt for transport of grain to an unknown harbor in the name of Manes,"January 30, 267 A.D.[?]",,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"Of the granary of Karanis, of the crop of year 13, of the dekaprotos Kyrillos, through bests of Narmouthis(?), through Manes, son of Maron, eleven donkeys, equal 11. Year 14, Mecheir 5.",True
michigan,michigan.apis.70,30833,30833,sb;14;11468,michigan.apis.70,List of Laborers and Donkeys,"List of people contributing workmen and donkeys, probably for work in the canals",(Late) IIIrd century/(early) IVth century A.D.,262.0,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"Saras, son of Cheras;Melas, son of Atisios;Ounaphris, son of Palemon;Ptoleme, son of Pemes;Horion, son of Kyri(--);Equal 5 workmen;[. . .]cheis: 1 donkey;[. . .]mos: 1 donkey",True
michigan,michigan.apis.700,14073,14073,sb;6;9031,michigan.apis.700,Receipt for Transport of Grain,"Receipt for delivery of grain to an unknown by Manes, son of Maron",(Late) IIIrd century A.D. (before Diocletian),249.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"In the 2nd year, on Pharmouthi 1, of Karanis, of the sitologeia of the horiodeiktia, Manes son of Maron, sixteen sacks, equal 16.",True
