doc_id,institution,date_year,date_text,genre,name,father,role,context
michigan.apis.1060,michigan,262.0,(Late) IIIrd century/(early) IVth centur,Documentary; Ostracon,Serenes,Ptolemaios,,acturer of oil;Horion son of Amianos;Heron son of Heron;Ouainaphis son of Salae;Serenes son of Ptolemaios;Demetres son of - - -
michigan.apis.1070,michigan,,"March 1, 296 A.D.",Documentary; Ostracon,Chairas,Sarapion,,"as and partners, of the crops of the 11th and 10th and 3rd year, in the name of Chairas son of Sarapion, through Demetrios son of Keph( ) <OR: foreman?> two donkeys, 2. In the 12th and 11th and 4th ye"
michigan.apis.1070,michigan,,"March 1, 296 A.D.",Documentary; Ostracon,Demetrios,Keph,,"the 11th and 10th and 3rd year, in the name of Chairas son of Sarapion, through Demetrios son of Keph( ) <OR: foreman?> two donkeys, 2. In the 12th and 11th and 4th year, on Phamenoth 5."
michigan.apis.1071,michigan,149.0,IInd century A.D.,Documentary; Ostracon,Ammonios,Apion,,Ammonios son of Apion for Ptollas son of Ammonios and Ptollous
michigan.apis.1071,michigan,149.0,IInd century A.D.,Documentary; Ostracon,Ptollas,Ammonios,,Ammonios son of Apion for Ptollas son of Ammonios and Ptollous
michigan.apis.1073,michigan,,"November 19, 296 A.D.",Documentary; Ostracon,Ptolas,Sokrates,,"2nd year of our lord Lucius Domittius Domittianus Augustus, Hathyr 23, has paid Ptolas son of Sokrates through Arabikos, for the annona as fixed by decree of the new epigraphe of the horiodeiktia of K"
michigan.apis.1079,michigan,349.0,(Early) IVth century A.D. (May 18),Documentary; Ostracon,Patermouthis,Dioskoros,,"On Pachon 23, has brought Patermouthis son of Dioskoros, of the village of Karanis, of the fourth indiction, two-hundred and forty litrai of chaff, 240 litrai, only. (I,) Isar"
michigan.apis.1080,michigan,262.0,(Late) IIIrd century/(early) IVth centur,Documentary; Ostracon,Kopres,Heras,,Kopres son of Heras 1(?) [- - -];Demetrios son of P[- - -];Sorion [- - -];Foreman:;Ptolemaios son of P[- - -];Sarapion [- - -];Horion [- - 
michigan.apis.1082,michigan,162.0,(Late) IInd century/(early) IIIrd centur,Documentary; Ostracon,Onesimos,Onesimos,,Onesimos son of Onesimos for Sisois son of Anchorimphis and Tanomgeus
michigan.apis.1082,michigan,162.0,(Late) IInd century/(early) IIIrd centur,Documentary; Ostracon,Sisois,Anchorimphis,,Onesimos son of Onesimos for Sisois son of Anchorimphis and Tanomgeus
